Timestamp,exp_inlet,exp_outlet,exp_heatgen,heatgen_m1,heatgen_m2,heatgen_m3,heatgen_m4,heatgen_m5,heatgen_m6
42046.54549,59.96129209,58.64065811,3.309692119,10.61756995,-2.696832306,-3.767552916,0.019540372,-0.1142593,-0.74877368
42046.54561,59.87320454,58.57520376,3.994078777,11.20880534,-2.616237062,-3.681144944,0.012027243,-0.142852313,-0.786519484
42046.54572,59.7858708,58.49635511,4.295517938,11.46813885,-2.618275415,-3.63831252,0.015037086,-0.11580999,-0.815260074
42046.54584,59.68620137,58.42403138,3.809166315,11.1337258,-2.691025314,-3.715799599,-0.012032402,-0.126366559,-0.779335611
42046.54595,59.58057989,58.326437,3.950706951,11.25728348,-2.566769162,-3.803820586,-0.051148645,0.018056185,-0.90289432
42046.54607,59.49566508,58.24394553,4.545630864,11.49270465,-2.565840858,-3.890481487,0.15047472,0.167062687,-0.80828885
42046.54619,59.40527441,58.16181562,3.912604656,11.47515102,-2.743915702,-3.880730029,-0.109869432,-0.120430412,-0.707600794
42046.5463,59.32216596,58.10921204,6.555113486,11.70293407,1.17796836,-5.11370669,-0.248379068,-0.140026842,-0.823676343
42046.54642,59.24607035,58.06272819,9.52500537,12.93457267,5.295632915,-5.665235362,-1.356290818,-0.71829063,-0.965383407
42046.54653,59.18180377,58.17544665,12.41768506,12.87417324,6.584035327,-2.159076289,-1.64056934,-1.419969164,-1.820908712
42046.54665,59.08811092,59.68823253,26.39817337,13.19764374,7.063890112,1.221757741,4.280720845,4.081327859,-3.447166928
42046.54676,58.99935269,61.52824252,36.09026186,11.60709684,7.494410099,2.747910152,7.43589914,8.163565484,-1.358619855
42046.54688,58.9324314,62.76619738,42.97993469,12.10969473,6.342636268,3.63479552,9.569805012,10.48820384,0.834799322
42046.547,58.86034329,63.61205354,47.85277994,11.88162617,6.353900587,3.988989541,10.18898507,12.17574025,3.263538327
42046.54711,58.77309577,64.01136178,48.78838314,11.64052874,5.70567648,3.694474295,11.48696436,11.19103902,5.069700245
42046.54723,58.68451545,64.25040247,50.48148152,10.69193225,6.611207164,3.998814107,11.06680744,13.03565367,5.07706689
42046.54734,58.62180013,64.47826184,54.8563384,11.87116218,7.886626591,4.072527863,11.31339821,13.92147337,5.791150178
42046.54746,58.54614137,64.59078601,55.36870708,11.75264742,8.20000732,4.414164631,11.42457158,14.24342447,5.333891658
42046.54758,58.49093532,64.69480774,56.11876541,12.5364291,8.880643692,3.882800588,11.05575414,14.72419635,5.038941533
42046.54769,58.42298304,64.90263034,56.70830951,11.89236089,8.68012547,4.036556954,11.17902143,14.92238822,5.997856548
42046.54781,58.36106874,64.90091628,56.61260568,11.71929158,8.939494719,4.313906861,10.8776734,14.66873553,6.093503587
42046.54792,58.28728509,64.83381024,56.45361007,11.81633455,9.004356501,4.003689707,10.20221586,15.09966542,6.327348033
42046.54804,58.23635285,64.85963645,58.36098929,11.95457653,9.134944598,4.162626565,11.04131963,15.49769149,6.569830481
42046.54815,58.18123856,64.92162483,59.98244592,12.81967763,9.553373099,4.290028104,11.29296873,15.50167257,6.52472579
42046.54827,58.13305651,64.95266085,58.12090558,11.98134067,8.659659218,4.144572363,11.80075859,15.12686518,6.407709554
42046.54839,58.0694049,65.05139575,60.64164333,12.10541776,9.314936964,4.406921957,12.32354409,15.35115014,7.139672422
42046.5485,58.03114792,65.02533789,57.94087352,11.14643985,8.650607724,4.850814492,11.16810196,15.95128913,6.173620373
42046.54862,57.99412552,65.09730647,59.78714789,11.03710201,8.695579582,4.984278743,11.45428042,16.43484594,7.181061202
42046.54873,57.96598898,64.98813384,59.65738763,11.43767892,8.640096672,5.251123464,11.29685759,16.16509536,6.866535626
42046.54885,57.92268831,65.01709656,59.82723018,11.64430225,8.662803112,5.0698787,10.92555646,16.09965602,7.425033642
42046.54896,57.88385206,64.88089382,59.57159557,10.99812499,8.465092303,4.864583974,11.51036119,16.4668657,7.266567413
