Timestamp,exp_inlet,exp_outlet,exp_heatgen,heatgen_m6,heatgen_m5,heatgen_m4,heatgen_m3,heatgen_m2,heatgen_m1,exp_flowrate
51528,52.36645862,51.22476079,1.899125736,9.414719889,2.499896462,-4.695137673,0.067680177,-2.458073765,-2.929959354,3.204363579
51538,52.3329748,53.09206327,26.21782415,9.647419018,8.352278157,-0.708758617,4.776233002,2.200234292,1.950418302,3.204515613
51548,52.29095721,54.44702072,39.24835292,10.86558985,7.864796626,1.20576067,7.116046507,4.992927362,7.203231908,3.204759801
51558,52.25259194,55.1512803,48.81228054,12.17881855,8.652684667,1.943799466,8.861769777,6.661796246,10.51341184,3.204898171
51568,52.22560818,55.47530126,49.12049868,11.11524996,6.994066805,3.428858331,9.76944142,7.607232553,10.20564961,3.205083361
51578,52.20066847,55.38302717,46.91043741,9.600883369,5.684750162,3.608022851,10.90313077,9.189829401,7.923820861,3.204831744
51588,52.15991129,55.3915147,49.65738425,10.06124798,5.964097669,4.246175751,10.68874783,9.463179963,9.233935061,3.204977838
51598,52.16851651,55.25626478,46.91418227,8.924252544,5.601247366,3.322222454,11.37145172,9.68474832,8.010259866,3.204708299
51608,52.15775639,55.30425,48.54382785,9.662185418,4.941843633,3.392121343,11.44012227,10.07962048,9.027934702,3.204532697
51618,52.14563962,55.34992,46.90904356,8.987502385,5.297293963,3.206796615,10.71954224,9.068578258,9.629330103,3.20463647
51628,52.20582365,55.38434134,48.42937038,8.86652223,5.522678779,3.150430497,11.17597436,9.962844319,9.750920201,3.204445444
51638,52.22405327,55.31982554,49.56126897,9.471959768,5.830563361,4.698544324,11.38356375,9.28652931,8.890108464,3.204530227
51648,52.22040551,55.37811377,48.63290268,9.462046981,5.438866953,3.690089341,10.33610164,10.14505696,9.560740809,3.204315937
51658,52.2443932,55.45050027,50.37784832,9.793320188,6.116890978,3.783679011,11.62367189,9.832654523,9.227631731,3.204224552
51668,52.25327122,55.48558729,49.78236277,9.961065521,6.142463494,3.509982236,11.18466545,9.552429114,9.431756947,3.204059026
51678,52.28577947,55.56682027,50.66783637,9.166722524,6.249969924,3.867553366,11.46141176,10.26945749,9.6527213,3.203788542
51688,52.31663374,55.64926374,50.69243018,10.04393531,6.075698353,3.878661301,11.18059462,9.387438396,10.1261022,3.203530931
51698,52.32842717,55.60145507,50.41669323,9.657040619,5.73167218,3.757973198,11.34981685,10.66878883,9.251401556,3.203470886
51708,52.36226485,55.70926219,50.43671025,8.888727024,6.405883557,3.907057183,10.68497081,10.79899916,9.751072503,3.203209197
51718,52.41072851,55.66133366,48.48244733,9.40210008,6.255119031,2.987821417,11.23463616,9.756118256,8.846652385,3.202986615
51728,52.45626398,55.82425608,51.31703312,9.746632984,5.96967552,3.559653394,11.37112214,10.1946331,10.47531599,3.202809829
51738,52.48200372,55.80151965,49.62585419,9.511497713,5.930777217,3.441839598,11.20853958,9.654034087,9.879165993,3.202643535
51748,52.53640039,55.80115183,49.60013435,9.278915339,6.103216279,3.162735134,11.42133176,10.35072881,9.283207033,3.202536256
51758,52.56692537,55.93878258,50.82423496,9.645671737,6.008283543,3.552309705,11.57466384,9.777285737,10.26602039,3.202239945
51768,52.62006955,55.92632116,49.69022585,8.903600535,5.907777796,3.502005822,12.00993489,10.15120347,9.215703328,3.202042164
51778,52.65973836,55.95855117,50.12385824,9.332620206,6.250188973,3.917991758,11.82098537,9.519914439,9.282157495,3.201904175
51788,52.71036788,56.05412053,50.32746037,9.572462926,5.574828011,4.008282777,11.66968793,9.448116943,10.05408178,3.201653188
51798,52.75220296,56.07195725,51.37726568,9.98943508,6.330363517,3.80829736,11.87588038,10.08232367,9.290965678,3.201393097
51808,52.799987,56.19763042,51.95502657,9.861084023,6.385340182,3.459007724,11.45546161,11.1209307,9.673202339,3.201210561
51818,52.84010122,56.25213795,51.85326948,10.10967578,6.070982,3.921722969,11.38675934,10.04472815,10.31940124,3.201057184
51828,52.88828203,56.27591892,52.04725052,9.258591014,6.823115449,3.575261847,12.10842032,10.97728005,9.304581828,3.200746179
51838,52.94316385,56.35680554,51.76943677,9.521097213,6.76677249,3.730172948,11.269539,9.986601168,10.49525395,3.200610101
51848,52.97353373,56.49403386,54.02831494,10.37056995,5.933677722,3.480555795,12.46553761,10.45625436,11.32171951,3.200338148
51858,53.03529483,56.54813059,53.78239391,9.711029027,6.627161464,4.350126512,11.56490076,10.27339141,11.25578474,3.200104455
51868,53.07604009,56.52147193,52.67978631,9.453189802,7.337504955,3.871993322,11.55985982,10.3152732,10.14196521,3.19972713
51878,53.12031671,56.62191402,52.87624632,10.03273291,6.64567,3.593328669,11.42987275,10.99897592,10.17566608,3.199551621
51888,53.18200267,56.67975863,51.92100093,9.670736865,6.42485294,3.841507357,11.47145219,9.946609274,10.56584231,3.199198786
51898,53.23355122,56.68233379,53.12936118,10.20772765,6.713895393,3.557051136,11.81558986,10.65929385,10.1758033,3.199011661
