Timestamp,exp_inlet,exp_outlet,sim_outlet
51528,52.36645862,51.22476079,51.86871294
51538,52.3329748,53.09206327,53.64049554
51548,52.29095721,54.44702072,54.56853782
51558,52.25259194,55.1512803,55.24103547
51568,52.22560818,55.47530126,55.23870011
51578,52.20066847,55.38302717,55.0515496
51588,52.15991129,55.3915147,55.21537374
51598,52.16851651,55.25626478,55.02125093
51608,52.15775639,55.30425,55.13218212
51618,52.14563962,55.34992,54.99934796
51628,52.20582365,55.38434134,55.17162922
51638,52.22405327,55.31982554,55.27172776
51648,52.22040551,55.37811377,55.20052516
51658,52.2443932,55.45050027,55.35271447
51668,52.25327122,55.48558729,55.31734191
51678,52.28577947,55.56682027,55.41597352
51688,52.31663374,55.64926374,55.44770521
51698,52.32842717,55.60145507,55.43925024
51708,52.36226485,55.70926219,55.47467295
51718,52.41072851,55.66133366,55.37646251
51728,52.45626398,55.82425608,55.63242371
51738,52.48200372,55.80151965,55.53202965
51748,52.53640039,55.80115183,55.5835768
51758,52.56692537,55.93878258,55.70470351
51768,52.62006955,55.92632116,55.67297107
51778,52.65973836,55.95855117,55.74342621
51788,52.71036788,56.05412053,55.80895163
51798,52.75220296,56.07195725,55.92726555
51808,52.799987,56.19763042,56.01784372
51818,52.84010122,56.25213795,56.04966447
51828,52.88828203,56.27591892,56.11168578
51838,52.94316385,56.35680554,56.14513237
51848,52.97353373,56.49403386,56.3433914
51858,53.03529483,56.54813059,56.38574682
51868,53.07604009,56.52147193,56.34351466
51878,53.12031671,56.62191402,56.40187078
51888,53.18200267,56.67975863,56.39196699
51898,53.23355122,56.68233379,56.53196724
51908,53.28531092,56.77909724,56.61783954
51918,53.35637924,56.86583741,56.71502796
51928,53.41972449,56.93891748,56.71473516
51938,53.4782096,56.9689681,56.72540604
51948,53.52549647,56.9745582,56.65041219
51958,53.58076715,57.070277,56.85089786
51968,53.64291202,57.15202867,56.90970856
51978,53.70726144,57.18595202,57.00747505
51988,53.77129772,57.27889061,56.97564403
51998,53.82973739,57.26914973,57.05676566
52008,53.89410742,57.44941429,57.30015643
52018,53.95852349,57.48118044,57.3834307
52028,54.00871006,57.54150449,57.33327057
52038,54.06633757,57.59633029,57.32538117
52048,54.13447748,57.69963439,57.39077946
52058,54.1980879,57.72228425,57.54098239
52068,54.2787434,57.82807655,57.64271892
52078,54.33851943,57.89932097,57.6584269
52088,54.40308658,58.28287,58.44649409
52098,54.44946569,59.1338106,59.27774102
52108,54.53232226,59.76719931,59.77636503
52118,54.58044874,60.11043814,60.13686925
52128,54.65606567,60.22104079,60.0439181
52138,54.69816992,60.4192664,60.09055599
52148,54.78779094,60.25495077,59.60825843
52158,54.86264917,59.71432577,59.08117585
52168,54.92170786,59.20987385,58.69073324
52178,54.97420395,58.89205912,58.41695068
52188,55.05041793,58.77051148,58.46278775
52198,55.10306118,58.80786427,58.50392893
52208,55.1624276,58.82820698,58.47503078
52218,55.2286398,58.84783221,58.5179641
52228,55.28726406,58.97743315,58.62174963
52238,55.33789355,58.99541038,58.83733652
52248,55.4117126,59.03040535,58.72723674
52258,55.47630682,59.11596064,58.8084158
52268,55.54302423,59.24907873,59.01418326
52278,55.6150403,59.32398417,59.07920798
52288,55.6779674,59.33507288,58.97949517
52298,55.74080425,59.50929377,59.27945674
52308,55.82367645,59.5032723,59.12118048
52318,55.86295694,59.57611751,59.23230962
52328,55.93658262,59.58853023,59.28028578
52338,55.99928714,59.6627304,59.3240777
52348,56.07527372,59.72722841,59.3906405
52358,56.13281402,59.77988071,59.46546513
52368,56.17839446,59.8647125,59.56596823
52378,56.22595298,59.88472484,59.62748774
52388,56.29992222,60.05061087,59.74663076
52398,56.38201925,60.08203647,59.7258119
52408,56.49750097,60.12278849,59.84658408
52418,56.5716644,60.17578105,59.88721434
52428,56.63468799,60.25104308,59.89760255
52438,56.68928024,60.32691507,60.02591507
52448,56.74356338,60.41795042,60.12203562
52458,56.79397935,60.46320368,60.21376493
52468,56.87201094,60.49626021,60.13629705
52478,56.93360719,60.48185543,60.26394263
52488,56.99143341,60.63742512,60.36330267
52498,57.04965539,60.660793,60.22418923
52508,57.11079251,60.67621793,60.30926846
52518,57.16826189,60.83005832,60.42871452
52528,57.24609077,60.85510919,60.53616429
52538,57.30437208,60.86128814,60.59524357
52548,57.34940175,60.97722471,60.62477124
52558,57.44829797,61.06113916,60.65113546
52568,57.51563565,61.13941904,60.83673153
52578,57.58266805,61.16690879,60.75347547
52588,57.62040923,61.24225949,60.93085866
52598,57.68501118,61.19720569,60.83806639
52608,57.74548216,61.27774271,60.91365068
52618,57.80754363,61.39157977,61.02452803
52628,57.87504966,61.44517065,61.12446005
52638,57.94082616,61.5359642,61.13794486
52648,58.00580401,61.59409809,61.21135458
52658,58.06750554,61.65261158,61.23625659
52668,58.11883521,61.75791161,61.31511294
52678,58.17589037,61.75704121,61.34963334
52688,58.24275357,61.81021489,61.47007977
52698,58.30011453,61.83571213,61.45624765
52708,58.36086279,61.9908208,61.50182953
52718,58.42094358,61.97856759,61.60779452
52728,58.48189799,62.0482211,61.68661913
52738,58.5435075,62.11789672,61.8413283
52748,58.59809055,62.16675022,61.83073368
52758,58.65742998,62.27170523,61.91775128
52768,58.72639891,62.31995828,61.93706089
52778,58.76898182,62.27752689,61.94285297
52788,58.82994143,62.34833748,61.94048103
52798,58.8971962,62.48787501,62.18827342
52808,58.95895052,62.54538362,62.09278929
52818,58.99965785,62.59563605,62.15412817
52828,59.07081659,62.6325595,62.20953928
52838,59.12322227,62.66729898,62.37804904
52848,59.1792406,62.7977406,62.33589064
52858,59.22270392,62.8733229,62.45482932
52868,59.27462474,62.76406682,62.42279231
52878,59.32473565,62.91188465,62.59611931
52888,59.29250672,63.27656346,64.08041264
52898,59.18991785,63.77181,64.62482131
52908,59.0925406,64.32423802,64.1981557
52918,58.95654151,65.07942838,64.60277232
52928,58.8150301,65.46020325,64.78487
52938,58.68193604,65.72387265,64.82396229
52948,58.58142661,65.83758459,65.12125191
52958,58.51044063,65.96878868,64.9237635
52968,58.43219152,66.03281086,65.08489952
52978,58.37792638,65.95865885,65.08860812
52988,58.31681454,65.98730604,65.02971222
52998,58.2738857,66.28186709,65.17694785
53008,58.21345806,65.94771584,65.03835408
53018,58.16501042,66.07747128,65.04254585
53028,58.13451918,66.1135583,65.07734165
53038,58.09435303,66.10347898,65.26210503
53048,58.06035313,66.04384664,65.07840766
53058,58.0296297,66.01832899,64.88708434
53068,57.99373319,66.09291206,64.99286385
53078,57.95113579,66.02897304,65.04469106
53088,57.92612149,66.01839532,65.0069463
53098,57.89175183,65.8179238,65.01638549
53108,57.87421114,65.91820695,65.04023002
53118,57.85148195,65.8582541,64.95885764
53128,57.82037358,65.7998531,64.87950133
53138,57.80243503,65.78749119,64.73788111
53148,57.78455009,65.75905293,64.72694394
53158,57.75126266,65.91229145,64.82381164
53168,57.74874888,65.88470193,64.86045709
53178,57.72362983,65.81465247,64.80549295
53188,57.69670556,65.7023982,64.54285938
53198,57.66728306,65.7311055,64.71045757
53208,57.64696893,65.86927096,64.81985532
53218,57.62283495,65.80003015,64.80365399
53228,57.60294742,65.7121584,64.49380821
53238,57.57163123,65.77833492,64.56231059
53248,57.54695841,65.81872528,64.72928443
53258,57.53606685,65.83770338,64.83797025
53268,57.51325009,65.86303401,64.75276709
53278,57.49884239,65.64066235,64.64805229
53288,57.47234447,65.72308531,64.59593925
53298,57.45603555,65.84144417,64.72702611
53308,57.44402529,65.91234873,64.71900852
53318,57.42429803,65.75945913,64.66522004
53328,57.4180085,65.69899346,64.61734021
53338,57.41325898,65.72103465,64.86995222
53348,57.40681052,65.7511566,64.54993934
53358,57.39268324,65.75332315,64.64977272
53368,57.39032138,65.78545535,64.78299864
53378,57.37945204,65.66355571,64.63124959
53388,57.37681389,65.67167741,64.54206956
53398,57.37390865,65.69654931,64.83225267
53408,57.38085413,65.91761726,64.96782362
53418,57.37840704,65.80004274,64.63796444
53428,57.37044507,65.59448229,64.41206105
53438,57.38226829,65.72253126,64.63111575
53448,57.39212449,65.59360794,64.5021749
53458,57.39103301,65.78031164,64.79307176
53468,57.4135826,65.71864957,64.73538255
53478,57.42121063,65.64001571,64.73868639
53488,57.43451694,65.5765289,64.79232014
53498,57.45362354,65.58093417,64.55316533
53508,57.47240711,65.83994664,64.82125814
53518,57.48357442,65.77467615,64.6648933
53528,57.51396143,65.61880944,64.43913483
53538,57.53525969,65.7343864,64.68061299
53548,57.56799719,65.68023416,64.71304738
53558,57.59259745,65.60279773,64.62297286
53568,57.60896888,65.54251523,64.53777262
53578,57.64643837,65.75876102,64.81107273
53588,57.67507878,65.50430689,64.50880791
53598,57.70977563,65.63188503,64.5182513
53608,57.73339189,65.67551561,64.5452411
53618,57.82947191,65.72411406,64.7154615
53628,57.93631272,65.85010442,64.81314076
53638,58.09565019,65.18152836,63.69650106
53648,58.18758872,64.9283438,63.98464417
53658,58.24249353,65.10043142,64.2623019
53668,58.28540605,65.48442909,64.87363759
53678,58.33472994,65.63901445,64.79528339
53688,58.36658047,65.75492129,64.93551362
53698,58.3889871,65.95523777,65.0749279
53708,58.40554305,65.93458005,65.1438821
53718,58.44858932,66.03778561,64.98051912
53728,58.46956011,66.10197407,65.23545413
53738,58.49098758,66.11399765,65.2152882
53748,58.52632882,66.20149337,65.18498923
53758,58.54842832,66.22295794,65.16024414
53768,58.57594621,66.38941475,65.36728099
53778,58.61609578,66.30793034,65.58713599
53788,58.65421809,66.33808197,65.41038173
53798,58.69415293,66.37867796,65.45199885
53808,58.72871333,66.52070901,65.60513644
53818,58.77286528,66.51935865,65.52740079
53828,58.80872166,66.44501327,65.62486579
53838,58.84809802,66.56140953,65.64467517
53848,58.87698604,66.63456371,65.76798483
53858,58.92026584,66.68091337,65.87971881
53868,58.95955707,66.74053008,65.90369655
53878,58.99531274,66.76399762,65.70846675
53888,59.03521366,66.79248281,65.87911829
53898,59.06500013,66.75169146,65.75167043
53908,59.12142655,66.91460779,65.88378172
53918,59.17187736,66.94587991,65.87614131
53928,59.21913332,67.00405276,66.13445175
53938,59.2551801,67.01845268,66.01065978
53948,59.27929741,66.94687374,66.05070802
53958,59.31676561,67.0823657,66.21480248
53968,59.35334902,66.97663585,66.04767759
53978,59.38351149,67.05811361,66.146154
53988,59.43143232,67.12437268,66.1539592
53998,59.45054979,67.18261558,66.26145432
54008,59.49738034,67.23544029,66.26923961
54018,59.51288449,67.17724816,66.20102895
54028,59.55874149,67.1468378,66.28196333
54038,59.58534871,67.26869712,66.46456648
54048,59.60669046,67.23566619,66.12910493
54058,59.63960296,67.27971489,66.390797
54068,59.66871462,67.35647127,66.36093037
54078,59.68819644,67.33335722,66.27445275
54088,59.72617427,67.41385266,66.52805235
54098,59.75622847,67.39018917,66.46176541
54108,59.7969377,67.39514547,66.55389393
54118,59.83912512,67.60725366,66.76302382
54128,59.8568748,67.60427373,66.75454857
54138,59.9074131,67.69907086,66.81638732
54148,59.93763467,67.67624518,66.73775907
54158,59.96154262,67.66674901,66.71758868
54168,59.9975501,67.67578181,66.76254249
54178,60.01767503,67.85600685,67.03383367
54188,60.05331085,67.79882461,66.90048326
54198,60.10224051,67.76430917,66.79981735
54208,60.11997784,67.66773307,66.69572761
54218,60.15808853,67.86393708,66.8952851
54228,60.19627005,67.90725939,66.95444087
54238,60.24336425,67.96802431,67.05482223
54248,60.27223491,67.96106649,66.93630119
54258,60.30741484,67.8440811,66.9285576
54268,60.33823876,67.9658828,66.94531823
54278,60.38613974,67.97712576,67.01354737
54288,60.42008687,68.03371849,67.06372553
54298,60.45807617,67.97115991,67.1268067
54308,60.49246608,68.08329932,67.20802469
54318,60.54365561,68.13853922,67.26913189
54328,60.60230558,68.29652985,67.47415658
54338,60.64089695,68.51183748,67.54277832
54348,60.6824928,68.53127392,67.69700586
54358,60.70874987,68.51242749,67.68413244
54368,60.76174662,68.65622365,67.70263348
54378,60.79142203,68.77149786,67.8503125
54388,60.83596167,68.7412091,67.71903312
54398,60.86537373,68.70642855,67.90174107
54408,60.88652109,68.78116946,67.91138587
54418,60.93956685,68.82494153,67.96745433
54428,60.98287795,68.90753452,67.9534309
54438,61.01998765,68.90346144,68.04851631
54448,61.05570718,68.8202443,67.99544662
54458,61.09704717,68.86872626,67.91248341
54468,61.13086761,68.88380741,67.98249877
54478,61.16294186,68.88339852,67.83304633
54488,61.19271822,68.95870383,68.04720002
54498,61.23866294,68.97128708,68.0518722
54508,61.29366049,68.88351579,68.07848155
54518,61.32646517,69.00164445,68.18070739
54528,61.36022514,68.92578705,67.93363903
54538,61.41032677,68.94791579,67.97934529
54548,61.43889731,68.96913154,68.01690397
54558,61.48320906,69.06355279,68.15816899
54568,61.52449425,69.05875813,67.97899952
54578,61.56428472,69.13787662,68.3669891
54588,61.59529554,69.15002623,68.17142838
54598,61.63374143,69.19553089,68.18829879
54608,61.68637904,69.10330459,68.29151066
54618,61.71424482,69.11820315,68.16925213
54628,61.7683272,69.20164393,68.18224878
54638,61.80718502,69.31117591,68.49441985
54648,61.83133932,69.34589845,68.48399276
54658,61.872988,69.32741816,68.61831138
54668,61.9297932,69.3723313,68.34158506
54678,61.96495099,69.41596659,68.53607317
54688,62.00978215,69.3558552,68.45198988
54698,62.04498386,69.44473656,68.72062517
54708,62.08178129,69.41869932,68.43872995
54718,62.12471941,69.53925748,68.65403529
54728,62.17142717,69.49345016,68.70422944
54738,62.21058184,69.64540365,68.77021792
54748,62.24662563,69.46388574,68.69956779
54758,62.29513328,69.5592239,68.57409741
54768,62.33235317,69.75100735,68.98670251
54778,62.37410869,69.64919844,68.58289527
54788,62.40163496,69.71974837,68.90508143
54798,62.45674638,69.77010842,68.82147818
54808,62.48338363,69.71616272,68.88780282
54818,62.52794149,69.73102742,68.80932621
54828,62.5562712,69.78497284,68.85075269
54838,62.61304117,69.92217477,69.03460494
54848,62.65730996,69.96627253,69.12333877
54858,62.69507707,69.85468926,69.12955912
54868,62.72884887,70.02294204,69.15332834
54878,62.77726655,70.02105813,69.21781894
54888,62.80722578,70.1779075,69.457638
54898,62.85297445,70.16294071,69.35016129
54908,62.89266237,70.33408391,69.4480333
54918,62.9232869,70.19391694,69.48209559
54928,62.97672286,70.30973565,69.56628417
54938,63.00724361,70.21559932,69.57007611
54948,63.04505692,70.40468739,69.54634412
54958,63.09113082,70.39096499,69.56390588
54968,63.13395248,70.69322259,69.67916649
54978,63.16052539,70.69431421,69.78344827
54988,63.21849158,70.83326247,69.81743026
54998,63.24445599,71.0114165,69.63572675
55008,63.27898201,71.13885362,69.89463224
55018,63.32149605,70.89605088,69.49035044
55028,63.36579189,71.01163293,69.61171982
55038,63.39955572,70.845544,69.33981276
55048,63.43200926,70.73312503,69.06443256
55058,63.46656065,70.1150779,68.50218026
55068,63.50150513,69.63391886,68.04516851
55078,63.5255897,69.14687229,67.61777837
55088,63.56216813,68.77731114,67.29496292
55098,63.60608878,67.92848545,66.54452974
55108,63.64388554,67.23700255,65.92048394
55118,63.68422293,66.50734147,65.32528385
55128,63.72064988,66.12869792,64.94174956
55138,63.76688869,65.32441813,64.24378028
55148,63.80534316,64.96439218,63.93463311
55158,63.83914459,64.49946727,63.50433926
55168,63.87806609,64.09392373,63.1385374
55178,63.91430005,63.73746352,62.82074017
55188,63.95978878,63.46140188,62.59458121
55198,63.99160739,63.30603,62.43748307
