Timestamp,exp_inlet,exp_outlet,exp_heatgen,heatgen_m1,heatgen_m2,heatgen_m3,heatgen_m4,heatgen_m5,heatgen_m6,exp_flowrate,Tamb
42729,27.91990701,27.03526973,1.952690816,9.759056148,-0.81275765,-4.437969543,-0.796894769,-1.031178316,-0.727565054,1.149924408,21.48057535
42739,27.93619412,27.26998019,4.032764018,10.46943107,1.51628334,-5.065206906,-0.933353632,-1.101991164,-0.85239869,1.149927855,21.48625288
42749,27.94744544,27.55499523,4.760697855,10.68152946,2.989748388,-5.473929699,-1.26970928,-1.246948754,-0.919992255,1.149876429,21.46076064
42759,27.96061438,27.85337833,6.282760749,10.72675543,4.168534784,-4.651838183,-1.25728618,-1.579071192,-1.12433391,1.149878659,21.50648149
42769,27.97082755,28.26136975,9.547887221,10.74296795,5.316565072,-1.347637801,-1.646347777,-2.06983732,-1.447822902,1.149831259,21.51792334
42779,27.98110813,28.7984534,16.75130845,11.59932953,6.078115467,1.595938982,1.470603776,-1.884004467,-2.108674843,1.14986602,21.51704574
42789,27.98478686,30.48574228,23.73635791,10.89006196,6.003867351,3.532059314,4.50963321,0.51190355,-1.71116747,1.149872391,21.48292036
42799,27.99688477,32.41500355,31.47934344,10.70720818,5.948891639,4.996238569,7.087155612,2.275497535,0.464351902,1.149834192,21.46180705
42809,28.03377881,33.76127732,36.38789125,11.38762635,6.114740348,5.867287752,7.757074904,4.32826657,0.932895326,1.149816068,21.45919143
42819,28.02705232,35.26942813,42.41729788,10.27370075,7.982909589,5.826257271,9.164183701,5.970655243,3.199591332,1.149795367,21.46710415
42829,28.05244382,36.14120054,47.31926863,11.06302703,10.02869025,5.774375662,9.239932649,6.903373976,4.309869062,1.149761704,21.42338859
42839,28.05221489,36.81046337,49.34472784,11.97970245,8.925657484,6.379297339,9.756184833,8.094135052,4.209750686,1.149759954,21.36255252
42849,28.06197231,37.40407162,50.64571691,12.22503656,8.570274542,6.865162391,10.59508773,8.292983948,4.097171742,1.149755162,21.35495092
42859,28.06510531,37.85580763,52.14263213,12.06393636,8.044461809,7.476786376,11.96522585,9.105563724,3.486658012,1.149724736,21.34794851
42869,28.07032095,38.03468146,52.33924246,12.59060339,7.773490901,7.557794356,12.29121965,9.313514001,2.812620164,1.149733002,21.35444884
42879,28.09516117,38.40246595,52.62155636,12.10470455,7.652430899,7.45405672,12.18625231,9.939147737,3.284964148,1.149712668,21.32389547
42889,28.09849923,38.70075203,54.87396496,12.66370759,7.251849274,7.334746862,13.41900592,10.32272535,3.881929958,1.149694426,21.33366083
